,date,open,high,low,close,volume,average,barCount
146,2019-11-04,1.1166,1.117545,1.11249,1.11281,-1,-1.0,-1
147,2019-11-05,1.11283,1.114035,1.10635,1.10744,-1,-1.0,-1
148,2019-11-06,1.107395,1.109295,1.106485,1.106605,-1,-1.0,-1
149,2019-11-07,1.10704,1.109175,1.103605,1.105,-1,-1.0,-1
150,2019-11-08,1.104975,1.105555,1.101665,1.10202,-1,-1.0,-1
151,2019-11-11,1.102075,1.10431,1.101645,1.10331,-1,-1.0,-1
152,2019-11-12,1.103275,1.103865,1.100235,1.100915,-1,-1.0,-1
153,2019-11-13,1.101,1.102045,1.099545,1.10065,-1,-1.0,-1
154,2019-11-14,1.100805,1.102775,1.098915,1.10213,-1,-1.0,-1
155,2019-11-15,1.102145,1.105695,1.101465,1.105305,-1,-1.0,-1
156,2019-11-18,1.105225,1.108995,1.104085,1.10724,-1,-1.0,-1
157,2019-11-19,1.10725,1.108395,1.10626,1.107835,-1,-1.0,-1
158,2019-11-20,1.107805,1.108145,1.105295,1.107215,-1,-1.0,-1
159,2019-11-21,1.107385,1.109705,1.105215,1.10589,-1,-1.0,-1
160,2019-11-22,1.105925,1.10875,1.101445,1.1021,-1,-1.0,-1
161,2019-11-25,1.102005,1.103215,1.100355,1.10145,-1,-1.0,-1
162,2019-11-26,1.101125,1.102565,1.100705,1.10206,-1,-1.0,-1
163,2019-11-27,1.10236,1.102475,1.099225,1.099945,-1,-1.0,-1
164,2019-11-28,1.099575,1.101795,1.099575,1.10097,-1,-1.0,-1
165,2019-11-29,1.101,1.102835,1.098125,1.10191,-1,-1.0,-1
166,2019-12-02,1.10212,1.109015,1.100305,1.10788,-1,-1.0,-1
167,2019-12-03,1.108075,1.109365,1.106605,1.10819,-1,-1.0,-1
168,2019-12-04,1.10808,1.111635,1.106685,1.107775,-1,-1.0,-1
169,2019-12-05,1.107995,1.110805,1.10776,1.110405,-1,-1.0,-1
170,2019-12-06,1.11038,1.110975,1.104005,1.106185,-1,-1.0,-1
171,2019-12-09,1.105685,1.107795,1.105335,1.10639,-1,-1.0,-1
172,2019-12-10,1.10705,1.109775,1.10628,1.10925,-1,-1.0,-1
173,2019-12-11,1.109275,1.114495,1.107035,1.112965,-1,-1.0,-1
174,2019-12-12,1.112225,1.115445,1.1103,1.113,-1,-1.0,-1
175,2019-12-13,1.117005,1.11997,1.111205,1.11191,-1,-1.0,-1
176,2019-12-16,1.112755,1.11582,1.112265,1.114405,-1,-1.0,-1
177,2019-12-17,1.114775,1.117475,1.112935,1.115015,-1,-1.0,-1
178,2019-12-18,1.11565,1.11565,1.111035,1.11137,-1,-1.0,-1
179,2019-12-19,1.111395,1.114435,1.110725,1.112235,-1,-1.0,-1
180,2019-12-20,1.11275,1.11275,1.10664,1.10773,-1,-1.0,-1
181,2019-12-23,1.10808,1.109595,1.106995,1.108925,-1,-1.0,-1
182,2019-12-24,1.10895,1.1094,1.10691,1.10856,-1,-1.0,-1
183,2019-12-26,1.109485,1.110895,1.10823,1.10976,-1,-1.0,-1
184,2019-12-27,1.1089,1.118835,1.1089,1.1174,-1,-1.0,-1
185,2019-12-30,1.117625,1.122075,1.1169,1.11989,-1,-1.0,-1
186,2019-12-31,1.1204,1.123935,1.119855,1.12176,-1,-1.0,-1
187,2020-01-02,1.121865,1.122475,1.11636,1.117235,-1,-1.0,-1
188,2020-01-03,1.11704,1.117995,1.112475,1.1161,-1,-1.0,-1
189,2020-01-06,1.11635,1.120575,1.115725,1.119705,-1,-1.0,-1
190,2020-01-07,1.119505,1.119765,1.113365,1.115295,-1,-1.0,-1
191,2020-01-08,1.11523,1.11683,1.11018,1.11056,-1,-1.0,-1
192,2020-01-09,1.110665,1.11205,1.109245,1.1106,-1,-1.0,-1
193,2020-01-10,1.110875,1.112935,1.108505,1.112025,-1,-1.0,-1
194,2020-01-13,1.112065,1.114705,1.11126,1.113405,-1,-1.0,-1
195,2020-01-14,1.113675,1.114455,1.110435,1.1128,-1,-1.0,-1
196,2020-01-15,1.11295,1.116355,1.111855,1.114975,-1,-1.0,-1
197,2020-01-16,1.115125,1.11728,1.112775,1.11365,-1,-1.0,-1
198,2020-01-17,1.11375,1.114265,1.108625,1.109065,-1,-1.0,-1
199,2020-01-20,1.1093,1.110255,1.107665,1.10952,-1,-1.0,-1
200,2020-01-21,1.109675,1.11179,1.108105,1.10823,-1,-1.0,-1
201,2020-01-22,1.1084,1.109845,1.107015,1.10931,-1,-1.0,-1
202,2020-01-23,1.109375,1.110885,1.10363,1.105425,-1,-1.0,-1
203,2020-01-24,1.1057,1.10619,1.101955,1.10252,-1,-1.0,-1
204,2020-01-27,1.102885,1.103765,1.100975,1.101905,-1,-1.0,-1
205,2020-01-28,1.10235,1.102545,1.099795,1.102225,-1,-1.0,-1
206,2020-01-29,1.10237,1.102775,1.099235,1.101055,-1,-1.0,-1
207,2020-01-30,1.10185,1.103945,1.100675,1.103175,-1,-1.0,-1
208,2020-01-31,1.103385,1.10959,1.100285,1.109205,-1,-1.0,-1
209,2020-02-03,1.10938,1.109385,1.10357,1.10594,-1,-1.0,-1
210,2020-02-04,1.105915,1.10643,1.103295,1.10443,-1,-1.0,-1
211,2020-02-05,1.1045,1.104795,1.099375,1.099915,-1,-1.0,-1
212,2020-02-06,1.0999,1.10141,1.096435,1.09831,-1,-1.0,-1
213,2020-02-07,1.09807,1.098505,1.094205,1.09446,-1,-1.0,-1
214,2020-02-10,1.0944,1.095755,1.090775,1.09111,-1,-1.0,-1
215,2020-02-11,1.091165,1.09248,1.08914,1.09152,-1,-1.0,-1
216,2020-02-12,1.09173,1.092565,1.086525,1.08737,-1,-1.0,-1
217,2020-02-13,1.0874,1.08888,1.083415,1.084145,-1,-1.0,-1
218,2020-02-14,1.083875,1.086125,1.082735,1.0831,-1,-1.0,-1
219,2020-02-17,1.08373,1.085105,1.082905,1.083635,-1,-1.0,-1
220,2020-02-18,1.08372,1.083775,1.078535,1.079145,-1,-1.0,-1
221,2020-02-19,1.07932,1.08118,1.078225,1.08061,-1,-1.0,-1
222,2020-02-20,1.08105,1.08212,1.07223,1.0785,-1,-1.0,-1
223,2020-02-21,1.078325,1.086365,1.078325,1.084785,-1,-1.0,-1
224,2020-02-24,1.082825,1.087215,1.080505,1.08531,-1,-1.0,-1
225,2020-02-25,1.085305,1.08905,1.083015,1.088175,-1,-1.0,-1
226,2020-02-26,1.08775,1.09089,1.085515,1.088185,-1,-1.0,-1
227,2020-02-27,1.08826,1.100585,1.087975,1.10005,-1,-1.0,-1
228,2020-02-28,1.1003,1.105325,1.095095,1.102615,-1,-1.0,-1
229,2020-03-02,1.1045,1.118475,1.103025,1.11336,-1,-1.0,-1
230,2020-03-03,1.113345,1.12137,1.109525,1.11731,-1,-1.0,-1
231,2020-03-04,1.1179,1.11875,1.109545,1.11354,-1,-1.0,-1
232,2020-03-05,1.113355,1.124495,1.111965,1.123725,-1,-1.0,-1
233,2020-03-06,1.12385,1.13549,1.121135,1.12861,-1,-1.0,-1
234,2020-03-09,1.1345,1.149565,1.13358,1.14438,-1,-1.0,-1
235,2020-03-10,1.14438,1.14584,1.12748,1.128055,-1,-1.0,-1
236,2020-03-11,1.12878,1.136685,1.12574,1.126945,-1,-1.0,-1
237,2020-03-12,1.126265,1.13338,1.10555,1.118495,-1,-1.0,-1
238,2020-03-13,1.119515,1.12214,1.105515,1.11058,-1,-1.0,-1
239,2020-03-16,1.114395,1.12371,1.10851,1.118185,-1,-1.0,-1
240,2020-03-17,1.118,1.11894,1.095485,1.099795,-1,-1.0,-1
241,2020-03-18,1.09965,1.104545,1.080195,1.091395,-1,-1.0,-1
242,2020-03-19,1.09101,1.09822,1.06552,1.069125,-1,-1.0,-1
243,2020-03-20,1.067225,1.08312,1.063755,1.06882,-1,-1.0,-1
244,2020-03-23,1.070225,1.082795,1.0636,1.07262,-1,-1.0,-1
245,2020-03-24,1.07255,1.088795,1.07193,1.078805,-1,-1.0,-1
246,2020-03-25,1.078395,1.089405,1.076035,1.08827,-1,-1.0,-1
